id,value
0,0.0
1,1.5
2,3.0
3,4.5
4,6.0
5,7.5
6,9.0
7,10.5
8,12.0
9,13.5
10,15.0
11,16.5
12,18.0
13,19.5
14,21.0
15,22.5
16,24.0
17,25.5
18,27.0
19,28.5
20,30.0
21,31.5
22,33.0
23,34.5
24,36.0
25,37.5
26,39.0
27,40.5
28,42.0
29,43.5
30,45.0
31,46.5
32,48.0
33,49.5
34,51.0
35,52.5
36,54.0
37,55.5
38,57.0
39,58.5
40,60.0
41,61.5
42,63.0
43,64.5
44,66.0
45,67.5
46,69.0
47,70.5
48,72.0
49,73.5
50,75.0
51,76.5
52,78.0
53,79.5
54,81.0
55,82.5
56,84.0
57,85.5
58,87.0
59,88.5
60,90.0
61,91.5
62,93.0
63,94.5
64,96.0
65,97.5
66,99.0
67,100.5
68,102.0
69,103.5
70,105.0
71,106.5
72,108.0
73,109.5
74,111.0
75,112.5
76,114.0
77,115.5
78,117.0
79,118.5
80,120.0
81,121.5
82,123.0
83,124.5
84,126.0
85,127.5
86,129.0
87,130.5
88,132.0
89,133.5
90,135.0
91,136.5
92,138.0
93,139.5
94,141.0
95,142.5
96,144.0
97,145.5
98,147.0
99,148.5
100,150.0
101,151.5
102,153.0
103,154.5
104,156.0
105,157.5
106,159.0
107,160.5
108,162.0
109,163.5
110,165.0
111,166.5
112,168.0
113,169.5
114,171.0
115,172.5
116,174.0
117,175.5
118,177.0
119,178.5
120,180.0
121,181.5
122,183.0
123,184.5
124,186.0
125,187.5
126,189.0
127,190.5
128,192.0
129,193.5
130,195.0
131,196.5
132,198.0
133,199.5
134,201.0
135,202.5
136,204.0
137,205.5
138,207.0
139,208.5
140,210.0
141,211.5
142,213.0
143,214.5
144,216.0
145,217.5
146,219.0
147,220.5
148,222.0
149,223.5
150,225.0
151,226.5
152,228.0
153,229.5
154,231.0
155,232.5
156,234.0
157,235.5
158,237.0
159,238.5
160,240.0
161,241.5
162,243.0
163,244.5
164,246.0
165,247.5
166,249.0
167,250.5
168,252.0
169,253.5
170,255.0
171,256.5
172,258.0
173,259.5
174,261.0
175,262.5
176,264.0
177,265.5
178,267.0
179,268.5
180,270.0
181,271.5
182,273.0
183,274.5
184,276.0
185,277.5
186,279.0
187,280.5
188,282.0
189,283.5
190,285.0
191,286.5
192,288.0
193,289.5
194,291.0
195,292.5
196,294.0
197,295.5
198,297.0
199,298.5
200,300.0
201,301.5
202,303.0
203,304.5
204,306.0
205,307.5
206,309.0
207,310.5
208,312.0
209,313.5
210,315.0
211,316.5
212,318.0
213,319.5
214,321.0
215,322.5
216,324.0
217,325.5
218,327.0
219,328.5
220,330.0
221,331.5
222,333.0
223,334.5
224,336.0
225,337.5
226,339.0
227,340.5
228,342.0
229,343.5
230,345.0
231,346.5
232,348.0
233,349.5
234,351.0
235,352.5
236,354.0
237,355.5
238,357.0
239,358.5
240,360.0
241,361.5
242,363.0
243,364.5
244,366.0
245,367.5
246,369.0
247,370.5
248,372.0
249,373.5
250,375.0
251,376.5
252,378.0
253,379.5
254,381.0
255,382.5
256,384.0
257,385.5
258,387.0
259,388.5
260,390.0
261,391.5
262,393.0
263,394.5
264,396.0
265,397.5
266,399.0
267,400.5
268,402.0
269,403.5
270,405.0
271,406.5
272,408.0
273,409.5
274,411.0
275,412.5
276,414.0
277,415.5
278,417.0
279,418.5
280,420.0
281,421.5
282,423.0
283,424.5
284,426.0
285,427.5
286,429.0
287,430.5
288,432.0
289,433.5
290,435.0
291,436.5
292,438.0
293,439.5
294,441.0
295,442.5
296,444.0
297,445.5
298,447.0
299,448.5
300,450.0
301,451.5
302,453.0
303,454.5
304,456.0
305,457.5
306,459.0
307,460.5
308,462.0
309,463.5
310,465.0
311,466.5
312,468.0
313,469.5
314,471.0
315,472.5
316,474.0
317,475.5
318,477.0
319,478.5
320,480.0
321,481.5
322,483.0
323,484.5
324,486.0
325,487.5
326,489.0
327,490.5
328,492.0
329,493.5
330,495.0
331,496.5
332,498.0
333,499.5
334,501.0
335,502.5
336,504.0
337,505.5
338,507.0
339,508.5
340,510.0
341,511.5
342,513.0
343,514.5
344,516.0
345,517.5
346,519.0
347,520.5
348,522.0
349,523.5
350,525.0
351,526.5
352,528.0
353,529.5
354,531.0
355,532.5
356,534.0
357,535.5
358,537.0
359,538.5
360,540.0
361,541.5
362,543.0
363,544.5
364,546.0
365,547.5
366,549.0
367,550.5
368,552.0
369,553.5
370,555.0
371,556.5
372,558.0
373,559.5
374,561.0
375,562.5
376,564.0
377,565.5
378,567.0
379,568.5
380,570.0
381,571.5
382,573.0
383,574.5
384,576.0
385,577.5
386,579.0
387,580.5
388,582.0
389,583.5
390,585.0
391,586.5
392,588.0
393,589.5
394,591.0
395,592.5
396,594.0
397,595.5
398,597.0
399,598.5
400,600.0
401,601.5
402,603.0
403,604.5
404,606.0
405,607.5
406,609.0
407,610.5
408,612.0
409,613.5
410,615.0
411,616.5
412,618.0
413,619.5
414,621.0
415,622.5
416,624.0
417,625.5
418,627.0
419,628.5
420,630.0
421,631.5
422,633.0
423,634.5
424,636.0
425,637.5
426,639.0
427,640.5
428,642.0
429,643.5
430,645.0
431,646.5
432,648.0
433,649.5
434,651.0
435,652.5
436,654.0
437,655.5
438,657.0
439,658.5
440,660.0
441,661.5
442,663.0
443,664.5
444,666.0
445,667.5
446,669.0
447,670.5
448,672.0
449,673.5
450,675.0
451,676.5
452,678.0
453,679.5
454,681.0
455,682.5
456,684.0
457,685.5
458,687.0
459,688.5
460,690.0
461,691.5
462,693.0
463,694.5
464,696.0
465,697.5
466,699.0
467,700.5
468,702.0
469,703.5
470,705.0
471,706.5
472,708.0
473,709.5
474,711.0
475,712.5
476,714.0
477,715.5
478,717.0
479,718.5
480,720.0
481,721.5
482,723.0
483,724.5
484,726.0
485,727.5
486,729.0
487,730.5
488,732.0
489,733.5
490,735.0
491,736.5
492,738.0
493,739.5
494,741.0
495,742.5
496,744.0
497,745.5
498,747.0
499,748.5
500,750.0
501,751.5
502,753.0
503,754.5
504,756.0
505,757.5
506,759.0
507,760.5
508,762.0
509,763.5
510,765.0
511,766.5
512,768.0
513,769.5
514,771.0
515,772.5
516,774.0
517,775.5
518,777.0
519,778.5
520,780.0
521,781.5
522,783.0
523,784.5
524,786.0
525,787.5
526,789.0
527,790.5
528,792.0
529,793.5
530,795.0
531,796.5
532,798.0
533,799.5
534,801.0
535,802.5
536,804.0
537,805.5
538,807.0
539,808.5
540,810.0
541,811.5
542,813.0
543,814.5
544,816.0
545,817.5
546,819.0
547,820.5
548,822.0
549,823.5
550,825.0
551,826.5
552,828.0
553,829.5
554,831.0
555,832.5
556,834.0
557,835.5
558,837.0
559,838.5
560,840.0
561,841.5
562,843.0
563,844.5
564,846.0
565,847.5
566,849.0
567,850.5
568,852.0
569,853.5
570,855.0
571,856.5
572,858.0
573,859.5
574,861.0
575,862.5
576,864.0
577,865.5
578,867.0
579,868.5
580,870.0
581,871.5
582,873.0
583,874.5
584,876.0
585,877.5
586,879.0
587,880.5
588,882.0
589,883.5
590,885.0
591,886.5
592,888.0
593,889.5
594,891.0
595,892.5
596,894.0
597,895.5
598,897.0
599,898.5
600,900.0
601,901.5
602,903.0
603,904.5
604,906.0
605,907.5
606,909.0
607,910.5
608,912.0
609,913.5
610,915.0
611,916.5
612,918.0
613,919.5
614,921.0
615,922.5
616,924.0
617,925.5
618,927.0
619,928.5
620,930.0
621,931.5
622,933.0
623,934.5
624,936.0
625,937.5
626,939.0
627,940.5
628,942.0
629,943.5
630,945.0
631,946.5
632,948.0
633,949.5
634,951.0
635,952.5
636,954.0
637,955.5
638,957.0
639,958.5
640,960.0
641,961.5
642,963.0
643,964.5
644,966.0
645,967.5
646,969.0
647,970.5
648,972.0
649,973.5
650,975.0
651,976.5
652,978.0
653,979.5
654,981.0
655,982.5
656,984.0
657,985.5
